raw_text,portion_parsed,normalized_curie,normalized_label
UBERON:0004221 ! intestine smooth muscle,UBERON:0004221 ! intestine smooth muscle,,UBERON:0004221  intestine smooth muscle
ENVO:00000346 ! grain of acid dune sand,ENVO:00000346 ! grain of acid dune sand,ENVO:00000346,grain of acid dune sand
ENVO:2000016 ! potential energy,ENVO:2000016 ! potential energy,ENVO:2000016,potential energy
ENVO:00000433 ! kame terrace,ENVO:00000433 ! kame terrace,ENVO:00000433,kame terrace
ENVO:02000143 ! sugar refinery,ENVO:02000143 ! sugar refinery,ENVO:02000143,sugar refinery
ENVO:01000931 ! migration path,ENVO:01000931 ! migration path,ENVO:01000931,migration path
ENVO:01000686 ! marine water mass,ENVO:01000686 ! marine water mass,ENVO:01000686,marine water mass
CHEBI:33261 ! organosulfur compound,CHEBI:33261 ! organosulfur compound,,CHEBI:33261  organosulfur compound
CHEBI:36785 ! carbobicyclic compound,CHEBI:36785 ! carbobicyclic compound,,CHEBI:36785  carbobicyclic compound
ENVO:01000249 ! urban biome,ENVO:01000249 ! urban biome,ENVO:01000249,urban biome
ENVO:2000037 ! fossil fuel power plant,ENVO:2000037 ! fossil fuel power plant,ENVO:2000037,fossil fuel power plant
ENVO:00000116 ! vineyard,ENVO:00000116 ! vineyard,ENVO:00000116,vineyard
NCBITaxon:436489 ! Saurischia,NCBITaxon:436489 ! Saurischia,,NCBITaxon:436489  Saurischia
UBERON:0003729 ! mouth mucosa,UBERON:0003729 ! mouth mucosa,,UBERON:0003729  mouth mucosa
UBERON:0002104 ! visual system,UBERON:0002104 ! visual system,,UBERON:0002104  visual system
ENVO:03501248 ! overpass,ENVO:03501248 ! overpass,ENVO:03501248,overpass
ENVO:03000140 ! tundra climate,ENVO:03000140 ! tundra climate,ENVO:03000140,tundra climate
CHEBI:33842 ! aromatic annulene,CHEBI:33842 ! aromatic annulene,,CHEBI:33842  aromatic annulene
CHEBI:33561 ! d-block element atom,CHEBI:33561 ! d-block element atom,,CHEBI:33561  d-block element atom
PATO:0001652 ! alignment,PATO:0001652 ! alignment,,PATO:0001652  alignment
UBERON:0013685 ! foramen of skull,UBERON:0013685 ! foramen of skull,,UBERON:0013685  foramen of skull
ENVO:3200017 ! concentration of thallium in lake water,ENVO:3200017 ! concentration of thallium in lake water,ENVO:3200017,concentration of thallium in lake water
ENVO:03501145 ! emergency unit room,ENVO:03501145 ! emergency unit room,ENVO:03501145,emergency unit room
CHEBI:53550 ! poly(propylene),CHEBI:53550 ! poly(propylene),,CHEBI:53550  polypropylene
FOODON:00001201 ! dry bean food product,FOODON:00001201 ! dry bean food product,,FOODON:00001201  dry bean food product
ENVO:03501104 ! recreational cruise ship,ENVO:03501104 ! recreational cruise ship,ENVO:03501104,recreational cruise ship
ENVO:3100049 ! concentration of calcium carbonate in sea water,ENVO:3100049 ! concentration of calcium carbonate in sea water,ENVO:3100049,concentration of calcium carbonate in sea water
PATO:0002453 ! eroding,PATO:0002453 ! eroding,,PATO:0002453  eroding
PATO:0001887 ! hydrophilic,PATO:0001887 ! hydrophilic,,PATO:0001887  hydrophilic
CHEBI:36468 ! polycyclic ether,CHEBI:36468 ! polycyclic ether,,CHEBI:36468  polycyclic ether
ENVO:01000208 ! mediterranean woodland biome,ENVO:01000208 ! mediterranean woodland biome,ENVO:01000208,mediterranean woodland biome
FOODON:00002781 ! pigeon pea (whole),FOODON:00002781 ! pigeon pea (whole),,FOODON:00002781  pigeon pea whole
ENVO:01001648 ! suspended colloidal sediment,ENVO:01001648 ! suspended colloidal sediment,ENVO:01001648,suspended colloidal sediment
CHEBI:25806 ! oxygen molecular entity,CHEBI:25806 ! oxygen molecular entity,,CHEBI:25806  oxygen molecular entity
ENVO:00002237 ! chernozem,ENVO:00002237 ! chernozem,ENVO:00002237,chernozem
CHEBI:33249 ! organyl group,CHEBI:33249 ! organyl group,,CHEBI:33249  organyl group
ENVO:00000494 ! insequent stream,ENVO:00000494 ! insequent stream,ENVO:00000494,insequent stream
CHEBI:16842 ! formaldehyde,CHEBI:16842 ! formaldehyde,,CHEBI:16842  formaldehyde
UBERON:0005423 ! developing anatomical structure,UBERON:0005423 ! developing anatomical structure,,UBERON:0005423  developing anatomical structure
ENVO:00000056 ! fishpond,ENVO:00000056 ! fishpond,ENVO:00000056,fishpond
FOODON:03312053 ! pork (dehydrated),FOODON:03312053 ! pork (dehydrated),,FOODON:03312053  pork dehydrated
ENVO:09000008 ! concentration of carbon atom in soil,ENVO:09000008 ! concentration of carbon atom in soil,ENVO:09000008,concentration of carbon atom in soil
UBERON:0001048 ! primordium,UBERON:0001048 ! primordium,,UBERON:0001048  primordium
CHEBI:33350 ! chromium group element atom,CHEBI:33350 ! chromium group element atom,,CHEBI:33350  chromium group element atom
CHEBI:63062 ! aluminium cation,CHEBI:63062 ! aluminium cation,,CHEBI:63062  aluminium cation
ENVO:00003032 ! fresh animal manure,ENVO:00003032 ! fresh animal manure,ENVO:00003032,fresh animal manure
ENVO:00002116 ! contaminated soil,ENVO:00002116 ! contaminated soil,ENVO:00002116,contaminated soil
ENVO:00000351 ! volcanic arc,ENVO:00000351 ! volcanic arc,ENVO:00000351,volcanic arc
CHEBI:26562 ! ribose phosphate,CHEBI:26562 ! ribose phosphate,,CHEBI:26562  ribose phosphate
ENVO:02000128 ! fly ash,ENVO:02000128 ! fly ash,ENVO:02000128,fly ash
ENVO:06105117 ! abandoned fishing gear,ENVO:06105117 ! abandoned fishing gear,ENVO:06105117,abandoned fishing gear
ENVO:01000601 ! motor vehicle,ENVO:01000601 ! motor vehicle,ENVO:01000601,motor vehicle
NCBITaxon:92621 ! Acridoidea,NCBITaxon:92621 ! Acridoidea,,NCBITaxon:92621  Acridoidea
CHEBI:50812 ! carbon nanostructure,CHEBI:50812 ! carbon nanostructure,,CHEBI:50812  carbon nanostructure
CHEBI:63471 ! branched-chain amino-acid anion,CHEBI:63471 ! branched-chain amino-acid anion,,CHEBI:63471  branched-chain amino-acid anion
ENVO:2000010 ! bitumous coal,ENVO:2000010 ! bitumous coal,ENVO:2000010,bitumous coal
ENVO:03501357 ! manufacturing equipment,ENVO:03501357 ! manufacturing equipment,ENVO:03501357,manufacturing equipment
ENVO:00000348 ! grain of rocky sand,ENVO:00000348 ! grain of rocky sand,ENVO:00000348,grain of rocky sand
CHEBI:33575 ! carboxylic acid,CHEBI:33575 ! carboxylic acid,,CHEBI:33575  carboxylic acid
"FOODON:00002752 ! bean (whole, dried)","FOODON:00002752 ! bean (whole, dried)",,"FOODON:00002752  bean whole, dried"
UBERON:0012274 ! columnar epithelium,UBERON:0012274 ! columnar epithelium,,UBERON:0012274  columnar epithelium
ENVO:01001570 ! terrestrial ecoregion,ENVO:01001570 ! terrestrial ecoregion,ENVO:01001570,terrestrial ecoregion
PATO:0002005 ! concavity,PATO:0002005 ! concavity,,PATO:0002005  concavity
ENVO:01000212 ! temperate mixed forest biome,ENVO:01000212 ! temperate mixed forest biome,ENVO:01000212,temperate mixed forest biome
ENVO:00005788 ! rubber plantation soil,ENVO:00005788 ! rubber plantation soil,ENVO:00005788,rubber plantation soil
ENVO:03600006 ! food waste,ENVO:03600006 ! food waste,ENVO:03600006,food waste
ENVO:00002875 ! oil contaminated soil,ENVO:00002875 ! oil contaminated soil,ENVO:00002875,oil contaminated soil
ENVO:01000972 ! take-out restaurant,ENVO:01000972 ! take-out restaurant,ENVO:01000972,take-out restaurant
ENVO:00000045 ! estuary,ENVO:00000045 ! estuary,ENVO:00000045,estuary
ENVO:3100026 ! concentration of phosphate in liquid water,ENVO:3100026 ! concentration of phosphate in liquid water,ENVO:3100026,concentration of phosphate in liquid water
PATO:0001906 ! movement quality,PATO:0001906 ! movement quality,,PATO:0001906  movement quality
UBERON:0012112 ! ingested food,UBERON:0012112 ! ingested food,,UBERON:0012112  ingested food
ENVO:01001151 ! proplyd,ENVO:01001151 ! proplyd,ENVO:01001151,proplyd
PATO:0002233 ! far from,PATO:0002233 ! far from,,PATO:0002233  far from
CHEBI:37191 ! silicon oxoanion,CHEBI:37191 ! silicon oxoanion,,CHEBI:37191  silicon oxoanion
CHEBI:25710 ! organophosphorus compound,CHEBI:25710 ! organophosphorus compound,,CHEBI:25710  organophosphorus compound
UBERON:0015228 ! circulatory organ,UBERON:0015228 ! circulatory organ,,UBERON:0015228  circulatory organ
UBERON:0006539 ! mammary gland fluid/secretion,UBERON:0006539 ! mammary gland fluid/secretion,,UBERON:0006539  mammary gland fluid/secretion
UBERON:0005638 ! anterior chamber epithelium,UBERON:0005638 ! anterior chamber epithelium,,UBERON:0005638  anterior chamber epithelium
ENVO:03600086 ! water filter,ENVO:03600086 ! water filter,ENVO:03600086,water filter
ENVO:01001258 ! vog,ENVO:01001258 ! vog,ENVO:01001258,vog
ENVO:01001203 ! alluvial sediment,ENVO:01001203 ! alluvial sediment,ENVO:01001203,alluvial sediment
UBERON:0010359 ! pharyngeal arch mesenchyme from neural crest,UBERON:0010359 ! pharyngeal arch mesenchyme from neural crest,,UBERON:0010359  pharyngeal arch mesenchyme from neural crest
ENVO:3100020 ! concentration of methane in liquid water,ENVO:3100020 ! concentration of methane in liquid water,ENVO:3100020,concentration of methane in liquid water
ENVO:03501355 ! public-private prison,ENVO:03501355 ! public-private prison,ENVO:03501355,public-private prison
ENVO:00000451 ! amenity lake,ENVO:00000451 ! amenity lake,ENVO:00000451,amenity lake
ENVO:00002212 ! thermophilic granular sludge,ENVO:00002212 ! thermophilic granular sludge,ENVO:00002212,thermophilic granular sludge
ENVO:01000412 ! circalittoral zone,ENVO:01000412 ! circalittoral zone,ENVO:01000412,circalittoral zone
ENVO:01000962 ! diatomite,ENVO:01000962 ! diatomite,ENVO:01000962,diatomite
CHEBI:33455 ! nitrogen oxoacid,CHEBI:33455 ! nitrogen oxoacid,,CHEBI:33455  nitrogen oxoacid
ENVO:01001534 ! tabular iceberg,ENVO:01001534 ! tabular iceberg,ENVO:01001534,tabular iceberg
PATO:0002063 ! columnar,PATO:0002063 ! columnar,,PATO:0002063  columnar
PO:0025025 ! root system,PO:0025025 ! root system,,PO:0025025  root system
ENVO:00000109 ! woodland area,ENVO:00000109 ! woodland area,ENVO:00000109,woodland area
ENVO:00000415 ! raised beach,ENVO:00000415 ! raised beach,ENVO:00000415,raised beach
ENVO:06105025 ! cohesion,ENVO:06105025 ! cohesion,ENVO:06105025,cohesion
CHEBI:33746 ! vanadium group molecular entity,CHEBI:33746 ! vanadium group molecular entity,,CHEBI:33746  vanadium group molecular entity
FOODON:00002158 ! food (preserved),FOODON:00002158 ! food (preserved),,FOODON:00002158  food preserved
ENVO:00000084 ! mountain pass,ENVO:00000084 ! mountain pass,ENVO:00000084,mountain pass
ENVO:01001010 ! hydrometeor,ENVO:01001010 ! hydrometeor,ENVO:01001010,hydrometeor
ENVO:01001804 ! subtropical forest,ENVO:01001804 ! subtropical forest,ENVO:01001804,subtropical forest
CHEBI:17579 ! beta-carotene,CHEBI:17579 ! beta-carotene,,CHEBI:17579  beta-carotene
ENVO:00000120 ! oil palm plantation,ENVO:00000120 ! oil palm plantation,ENVO:00000120,oil palm plantation
ENVO:01001162 ! IUCN strict nature reserve,ENVO:01001162 ! IUCN strict nature reserve,ENVO:01001162,IUCN strict nature reserve
ENVO:01000816 ! area of deciduous forest,ENVO:01000816 ! area of deciduous forest,ENVO:01000816,area of deciduous forest
ENVO:00002046 ! activated sludge,ENVO:00002046 ! activated sludge,ENVO:00002046,activated sludge
ENVO:01001022 ! natural lake,ENVO:01001022 ! natural lake,ENVO:01001022,natural lake
ENVO:01001384 ! area of attached faunal communities,ENVO:01001384 ! area of attached faunal communities,ENVO:01001384,area of attached faunal communities
CHEBI:26216 ! potassium atom,CHEBI:26216 ! potassium atom,,CHEBI:26216  potassium atom
UBERON:0002616 ! regional part of brain,UBERON:0002616 ! regional part of brain,,UBERON:0002616  regional part of brain
ENVO:00002260 ! dune soil,ENVO:00002260 ! dune soil,ENVO:00002260,dune soil
PATO:0001709 ! 2-D extent,PATO:0001709 ! 2-D extent,,PATO:0001709  2-D extent
ENVO:01001459 ! high-elevation mountain,ENVO:01001459 ! high-elevation mountain,ENVO:01001459,high-elevation mountain
ENVO:01001673 ! fluid surface layer,ENVO:01001673 ! fluid surface layer,ENVO:01001673,fluid surface layer
ENVO:03600045 ! plant pot,ENVO:03600045 ! plant pot,ENVO:03600045,plant pot
ENVO:01000433 ! needleleaf forest,ENVO:01000433 ! needleleaf forest,ENVO:01000433,needleleaf forest
NCBITaxon:1177 ! Nostoc,NCBITaxon:1177 ! Nostoc,,NCBITaxon:1177  Nostoc
NCBITaxon:71000 ! Pfiesteria,NCBITaxon:71000 ! Pfiesteria,,NCBITaxon:71000  Pfiesteria
ENVO:01001408 ! cirrostratus cloud,ENVO:01001408 ! cirrostratus cloud,ENVO:01001408,cirrostratus cloud
ENVO:00005801 ! rhizosphere,ENVO:00005801 ! rhizosphere,ENVO:00005801,rhizosphere
UBERON:0004140 ! primary heart field,UBERON:0004140 ! primary heart field,,UBERON:0004140  primary heart field
ENVO:00003862 ! dairy,ENVO:00003862 ! dairy,ENVO:00003862,dairy
ENVO:00000155 ! cirque,ENVO:00000155 ! cirque,ENVO:00000155,cirque
ENVO:00000023 ! stream,ENVO:00000023 ! stream,ENVO:00000023,stream
ENVO:00005782 ! ornithogenic soil,ENVO:00005782 ! ornithogenic soil,ENVO:00005782,ornithogenic soil
ENVO:01000537 ! atmospheric ozone,ENVO:01000537 ! atmospheric ozone,ENVO:01000537,atmospheric ozone
ENVO:01000570 ! hot-blast paraffin lantern,ENVO:01000570 ! hot-blast paraffin lantern,ENVO:01000570,hot-blast paraffin lantern
UBERON:0006238 ! future brain,UBERON:0006238 ! future brain,,UBERON:0006238  future brain
ENVO:00000285 ! quicksand bed,ENVO:00000285 ! quicksand bed,ENVO:00000285,quicksand bed
ENVO:00000225 ! highly stratified estuary,ENVO:00000225 ! highly stratified estuary,ENVO:00000225,highly stratified estuary
ENVO:01000341 ! subalpine,ENVO:01000341 ! subalpine,ENVO:01000341,subalpine
PATO:0000367 ! right,PATO:0000367 ! right,,PATO:0000367  right
PATO:0002269 ! accumulation,PATO:0002269 ! accumulation,,PATO:0002269  accumulation
UBERON:0002190 ! subcutaneous adipose tissue,UBERON:0002190 ! subcutaneous adipose tissue,,UBERON:0002190  subcutaneous adipose tissue
ENVO:01001419 ! cumulonimbus cloud,ENVO:01001419 ! cumulonimbus cloud,ENVO:01001419,cumulonimbus cloud
CHEBI:36309 ! cyclic tetrapyrrole,CHEBI:36309 ! cyclic tetrapyrrole,,CHEBI:36309  cyclic tetrapyrrole
UBERON:0007282 ! presumptive segmental plate,UBERON:0007282 ! presumptive segmental plate,,UBERON:0007282  presumptive segmental plate
FOODON:03400188 ! confectionery (us cfr),FOODON:03400188 ! confectionery (us cfr),,FOODON:03400188  confectionery us cfr
PATO:0000381 ! decreased frequency,PATO:0000381 ! decreased frequency,,PATO:0000381  decreased frequency
UBERON:0003133 ! reproductive organ,UBERON:0003133 ! reproductive organ,,UBERON:0003133  reproductive organ
UBERON:0002193 ! hemolymphoid system,UBERON:0002193 ! hemolymphoid system,,UBERON:0002193  hemolymphoid system
FOODON:00002301 ! pork cured meat food product,FOODON:00002301 ! pork cured meat food product,,FOODON:00002301  pork cured meat food product
ENVO:3100030 ! acidity of water,ENVO:3100030 ! acidity of water,ENVO:3100030,acidity of water
BFO:0000020 ! specifically dependent continuant,BFO:0000020 ! specifically dependent continuant,,BFO:0000020  specifically dependent continuant
BFO:0000024 ! fiat object,BFO:0000024 ! fiat object,,BFO:0000024  fiat object
CHEBI:60737 ! polyurethane polymer,CHEBI:60737 ! polyurethane polymer,,CHEBI:60737  polyurethane polymer
ENVO:3200038 ! concentration of titanium in water ice,ENVO:3200038 ! concentration of titanium in water ice,ENVO:3200038,concentration of titanium in water ice
FOODON:00001001 ! orange juice (liquid),FOODON:00001001 ! orange juice (liquid),,FOODON:00001001  orange juice liquid
PATO:0000689 ! continuous,PATO:0000689 ! continuous,,PATO:0000689  continuous
UBERON:0005656 ! lens vesicle epithelium,UBERON:0005656 ! lens vesicle epithelium,,UBERON:0005656  lens vesicle epithelium
CHEBI:33653 ! aliphatic compound,CHEBI:33653 ! aliphatic compound,,CHEBI:33653  aliphatic compound
PATO:0001522 ! sound speed,PATO:0001522 ! sound speed,,PATO:0001522  sound speed
CHEBI:30145 ! lithium atom,CHEBI:30145 ! lithium atom,,CHEBI:30145  lithium atom
ENVO:01000024 ! marine benthic biome,ENVO:01000024 ! marine benthic biome,ENVO:01000024,marine benthic biome
ENVO:03501364 ! packaging equipment,ENVO:03501364 ! packaging equipment,ENVO:03501364,packaging equipment
ENVO:01000028 ! marine hadal zone biome,ENVO:01000028 ! marine hadal zone biome,ENVO:01000028,marine hadal zone biome
ENVO:00000146 ! snow field,ENVO:00000146 ! snow field,ENVO:00000146,snow field
ENVO:01000922 ! animal cage,ENVO:01000922 ! animal cage,ENVO:01000922,animal cage
ENVO:02000037 ! sebum material,ENVO:02000037 ! sebum material,ENVO:02000037,sebum material
ENVO:2000021 ! magnetic energy,ENVO:2000021 ! magnetic energy,ENVO:2000021,magnetic energy
ENVO:01000977 ! dry pitfall trap,ENVO:01000977 ! dry pitfall trap,ENVO:01000977,dry pitfall trap
ENVO:03510029 ! primer (paint),ENVO:03510029 ! primer (paint),ENVO:03510029,primer (paint)
ENVO:00000206 ! marine neritic zone,ENVO:00000206 ! marine neritic zone,ENVO:00000206,marine neritic zone
UBERON:0008114 ! joint of girdle,UBERON:0008114 ! joint of girdle,,UBERON:0008114  joint of girdle
NCBITaxon:32524 ! Amniota,NCBITaxon:32524 ! Amniota,,NCBITaxon:32524  Amniota
ENVO:00000364 ! national wildlife refuge,ENVO:00000364 ! national wildlife refuge,ENVO:00000364,national wildlife refuge
ENVO:3200030 ! concentration of molybdenum in water ice,ENVO:3200030 ! concentration of molybdenum in water ice,ENVO:3200030,concentration of molybdenum in water ice
ENVO:01000851 ! methane clathrate,ENVO:01000851 ! methane clathrate,ENVO:01000851,methane clathrate
ENVO:01000508 ! salt material,ENVO:01000508 ! salt material,ENVO:01000508,salt material
ENVO:01001352 ! glacial ice accumulation zone,ENVO:01001352 ! glacial ice accumulation zone,ENVO:01001352,glacial ice accumulation zone
PATO:0000634 ! unilateral,PATO:0000634 ! unilateral,,PATO:0000634  unilateral
ENVO:00000404 ! stratovolcano,ENVO:00000404 ! stratovolcano,ENVO:00000404,stratovolcano
CHEBI:16908 ! NADH,CHEBI:16908 ! NADH,,CHEBI:16908  NADH
ENVO:00000365 ! Ramsar site,ENVO:00000365 ! Ramsar site,ENVO:00000365,Ramsar site
CHEBI:28315 ! alloxanthine,CHEBI:28315 ! alloxanthine,,CHEBI:28315  alloxanthine
PATO:0045092 ! east,PATO:0045092 ! east,,PATO:0045092  east
CHEBI:17883 ! hydrogen chloride,CHEBI:17883 ! hydrogen chloride,,CHEBI:17883  hydrogen chloride
CHEBI:25017 ! leucine,CHEBI:25017 ! leucine,,CHEBI:25017  leucine
ENVO:01000396 ! tropical sclerophyllous dry forest,ENVO:01000396 ! tropical sclerophyllous dry forest,ENVO:01000396,tropical sclerophyllous dry forest
UBERON:0005944 ! axial skeleton plus cranial skeleton,UBERON:0005944 ! axial skeleton plus cranial skeleton,,UBERON:0005944  axial skeleton plus cranial skeleton
CHEBI:33833 ! heteroarene,CHEBI:33833 ! heteroarene,,CHEBI:33833  heteroarene
ENVO:03000128 ! acidic water-based rain,ENVO:03000128 ! acidic water-based rain,ENVO:03000128,acidic water-based rain
ENVO:01001351 ! ice decumulation zone,ENVO:01001351 ! ice decumulation zone,ENVO:01001351,ice decumulation zone
ENVO:01001850 ! frost,ENVO:01001850 ! frost,ENVO:01001850,frost
ENVO:00000216 ! fumarole,ENVO:00000216 ! fumarole,ENVO:00000216,fumarole
ENVO:01000771 ! all season road,ENVO:01000771 ! all season road,ENVO:01000771,all season road
ENVO:03501190 ! pain clinic,ENVO:03501190 ! pain clinic,ENVO:03501190,pain clinic
PATO:0002311 ! fimbriated,PATO:0002311 ! fimbriated,,PATO:0002311  fimbriated
ENVO:00000118 ! coconut plantation,ENVO:00000118 ! coconut plantation,ENVO:00000118,coconut plantation
ENVO:01000067 ! marine current,ENVO:01000067 ! marine current,ENVO:01000067,marine current
UBERON:0000060 ! anatomical wall,UBERON:0000060 ! anatomical wall,,UBERON:0000060  anatomical wall
ENVO:00000005 ! first-order administrative region,ENVO:00000005 ! first-order administrative region,ENVO:00000005,first-order administrative region
UBERON:0017650 ! developing mesenchymal structure,UBERON:0017650 ! developing mesenchymal structure,,UBERON:0017650  developing mesenchymal structure
ENVO:03600078 ! oil refinery,ENVO:03600078 ! oil refinery,ENVO:03600078,oil refinery
ENVO:01000395 ! temperate sclerophyllous dry forest,ENVO:01000395 ! temperate sclerophyllous dry forest,ENVO:01000395,temperate sclerophyllous dry forest
NCBITaxon:3313 ! Pinidae,NCBITaxon:3313 ! Pinidae,,NCBITaxon:3313  Pinidae
ENVO:01001048 ! sediment environment,ENVO:01001048 ! sediment environment,ENVO:01001048,sediment environment
ENVO:01001193 ! water-based planetary surface,ENVO:01001193 ! water-based planetary surface,ENVO:01001193,water-based planetary surface
PATO:0000370 ! up,PATO:0000370 ! up,,PATO:0000370  up
ENVO:09200031 ! amplitude of temperature of air,ENVO:09200031 ! amplitude of temperature of air,ENVO:09200031,amplitude of temperature of air
UBERON:0004456 ! entire sense organ system,UBERON:0004456 ! entire sense organ system,,UBERON:0004456  entire sense organ system
ENVO:00000147 ! ocean current,ENVO:00000147 ! ocean current,ENVO:00000147,ocean current
CHEBI:33300 ! pnictogen,CHEBI:33300 ! pnictogen,,CHEBI:33300  pnictogen
ENVO:03501343 ! first nations reserve,ENVO:03501343 ! first nations reserve,ENVO:03501343,first nations reserve
ENVO:01000548 ! eutrophic lake,ENVO:01000548 ! eutrophic lake,ENVO:01000548,eutrophic lake
CHEBI:58454 ! kynurenate,CHEBI:58454 ! kynurenate,,CHEBI:58454  kynurenate
ENVO:00000179 ! mesa,ENVO:00000179 ! mesa,ENVO:00000179,mesa
CHEBI:26082 ! phosphorus molecular entity,CHEBI:26082 ! phosphorus molecular entity,,CHEBI:26082  phosphorus molecular entity
UBERON:0003129 ! skull,UBERON:0003129 ! skull,,UBERON:0003129  skull
CHEBI:83821 ! amino acid derivative,CHEBI:83821 ! amino acid derivative,,CHEBI:83821  amino acid derivative
ENVO:01000097 ! surface convergence,ENVO:01000097 ! surface convergence,ENVO:01000097,surface convergence
UBERON:0004522 ! vasculature of musculoskeletal system,UBERON:0004522 ! vasculature of musculoskeletal system,,UBERON:0004522  vasculature of musculoskeletal system
ENVO:01000675 ! atmospheric column,ENVO:01000675 ! atmospheric column,ENVO:01000675,atmospheric column
CHEBI:64708 ! one-carbon compound,CHEBI:64708 ! one-carbon compound,,CHEBI:64708  one-carbon compound
FOODON:00001640 ! berry food product,FOODON:00001640 ! berry food product,,FOODON:00001640  berry food product
UBERON:0000483 ! epithelium,UBERON:0000483 ! epithelium,,UBERON:0000483  epithelium
ENVO:03520003 ! cloud part,ENVO:03520003 ! cloud part,ENVO:03520003,cloud part
ENVO:00000100 ! valley,ENVO:00000100 ! valley,ENVO:00000100,valley
ENVO:00000381 ! massif,ENVO:00000381 ! massif,ENVO:00000381,massif
ENVO:00000251 ! ground moraine,ENVO:00000251 ! ground moraine,ENVO:00000251,ground moraine
UBERON:0009569 ! subdivision of trunk,UBERON:0009569 ! subdivision of trunk,,UBERON:0009569  subdivision of trunk
ENVO:02000047 ! animal feed,ENVO:02000047 ! animal feed,ENVO:02000047,animal feed
PO:0025606 ! native plant cell,PO:0025606 ! native plant cell,,PO:0025606  native plant cell
PATO:0001163 ! decreased concentration,PATO:0001163 ! decreased concentration,,PATO:0001163  decreased concentration
PATO:0045063 ! normal speed,PATO:0045063 ! normal speed,,PATO:0045063  normal speed
ENVO:00005804 ! nest of ant,ENVO:00005804 ! nest of ant,ENVO:00005804,nest of ant
ENVO:00009726 ! strand crack,ENVO:00009726 ! strand crack,ENVO:00009726,strand crack
CHEBI:35552 ! heterocyclic organic fundamental parent,CHEBI:35552 ! heterocyclic organic fundamental parent,,CHEBI:35552  heterocyclic organic fundamental parent
CHEBI:49995 ! elemental neon,CHEBI:49995 ! elemental neon,,CHEBI:49995  elemental neon
ENVO:3200027 ! concentration of lanthanum in water ice,ENVO:3200027 ! concentration of lanthanum in water ice,ENVO:3200027,concentration of lanthanum in water ice
NCBITaxon:1163 ! Anabaena,NCBITaxon:1163 ! Anabaena,,NCBITaxon:1163  Anabaena
ENVO:03501277 ! orangery,ENVO:03501277 ! orangery,ENVO:03501277,orangery
ENVO:00000380 ! ice shelf,ENVO:00000380 ! ice shelf,ENVO:00000380,ice shelf
ENVO:01000391 ! tropical semi-evergreen moist broadleaf forest,ENVO:01000391 ! tropical semi-evergreen moist broadleaf forest,ENVO:01000391,tropical semi-evergreen moist broadleaf forest
ENVO:00000066 ! man-made tunnel,ENVO:00000066 ! man-made tunnel,ENVO:00000066,man-made tunnel
ENVO:01001053 ! saline aerosol environment,ENVO:01001053 ! saline aerosol environment,ENVO:01001053,saline aerosol environment
ENVO:09000012 ! solubility of nitrogen atom in water,ENVO:09000012 ! solubility of nitrogen atom in water,ENVO:09000012,solubility of nitrogen atom in water
ENVO:00003083 ! sarcosine enriched soil,ENVO:00003083 ! sarcosine enriched soil,ENVO:00003083,sarcosine enriched soil
ENVO:01000969 ! cafeteria,ENVO:01000969 ! cafeteria,ENVO:01000969,cafeteria
FOODON:00001061 ! bacon food product,FOODON:00001061 ! bacon food product,,FOODON:00001061  bacon food product
FOODON:03400865 ! soup (eurofir),FOODON:03400865 ! soup (eurofir),,FOODON:03400865  soup eurofir
ENVO:00002263 ! garden soil,ENVO:00002263 ! garden soil,ENVO:00002263,garden soil
ENVO:01001282 ! silica dust,ENVO:01001282 ! silica dust,ENVO:01001282,silica dust
UBERON:0003324 ! mesenchyme of lower jaw,UBERON:0003324 ! mesenchyme of lower jaw,,UBERON:0003324  mesenchyme of lower jaw
PATO:0001693 ! increased viscosity,PATO:0001693 ! increased viscosity,,PATO:0001693  increased viscosity
FOODON:00001055 ! sea water fish food product,FOODON:00001055 ! sea water fish food product,,FOODON:00001055  sea water fish food product
ENVO:01001001 ! plant-associated environment,ENVO:01001001 ! plant-associated environment,ENVO:01001001,plant-associated environment
ENVO:03501242 ! desert island,ENVO:03501242 ! desert island,ENVO:03501242,desert island
UBERON:4100000 ! skeletal element projection,UBERON:4100000 ! skeletal element projection,,UBERON:4100000  skeletal element projection
FOODON:00001212 ! pastry food product,FOODON:00001212 ! pastry food product,,FOODON:00001212  pastry food product
ENVO:00000176 ! elevated landform,ENVO:00000176 ! elevated landform,ENVO:00000176,elevated landform
ENVO:00000250 ! medial moraine,ENVO:00000250 ! medial moraine,ENVO:00000250,medial moraine
UBERON:0000125 ! neural nucleus,UBERON:0000125 ! neural nucleus,,UBERON:0000125  neural nucleus
ENVO:09200000 ! temperature of environmental material,ENVO:09200000 ! temperature of environmental material,ENVO:09200000,temperature of environmental material
CHEBI:50335 ! organic nitrogen anion,CHEBI:50335 ! organic nitrogen anion,,CHEBI:50335  organic nitrogen anion
ENVO:00000488 ! glacial lake,ENVO:00000488 ! glacial lake,ENVO:00000488,glacial lake
FOODON:00001277 ! orange juice (unpasteurized),FOODON:00001277 ! orange juice (unpasteurized),,FOODON:00001277  orange juice unpasteurized
CHEBI:33623 ! aluminium oxides,CHEBI:33623 ! aluminium oxides,,CHEBI:33623  aluminium oxides
ENVO:00000389 ! intermittent wetland,ENVO:00000389 ! intermittent wetland,ENVO:00000389,intermittent wetland
