raw_text,portion_parsed,normalized_curie,normalized_label
ENVO:01000549 ! mass of biological material,ENVO:01000549 ! mass of biological material,ENVO:01000549,mass of biological material
ENVO:01001135 ! desert planet,ENVO:01001135 ! desert planet,ENVO:01001135,desert planet
ENVO:09200010 ! acidity of soil,ENVO:09200010 ! acidity of soil,ENVO:09200010,acidity of soil
ENVO:01001607 ! water current,ENVO:01001607 ! water current,ENVO:01001607,water current
NCBITaxon:54304 ! Planktothrix,NCBITaxon:54304 ! Planktothrix,,NCBITaxon:54304  Planktothrix
PATO:0001789 ! domed,PATO:0001789 ! domed,,PATO:0001789  domed
PATO:0002443 ! level with,PATO:0002443 ! level with,,PATO:0002443  level with
UBERON:0003089 ! sclerotome,UBERON:0003089 ! sclerotome,,UBERON:0003089  sclerotome
IAO:0000584 ! time sampled measurement data set,IAO:0000584 ! time sampled measurement data set,,IAO:0000584  time sampled measurement data set
ENVO:01001638 ! frost-susceptible soil,ENVO:01001638 ! frost-susceptible soil,ENVO:01001638,frost-susceptible soil
ENVO:06105277 ! clay loam,ENVO:06105277 ! clay loam,ENVO:06105277,clay loam
ENVO:01000125 ! marine littoral zone,ENVO:01000125 ! marine littoral zone,ENVO:01000125,marine littoral zone
ENVO:03500003 ! public sports field,ENVO:03500003 ! public sports field,ENVO:03500003,public sports field
UBERON:0034944 ! zone of organ,UBERON:0034944 ! zone of organ,,UBERON:0034944  zone of organ
ENVO:01001608 ! kerosene oil,ENVO:01001608 ! kerosene oil,ENVO:01001608,kerosene oil
PATO:0045052 ! normal depth,PATO:0045052 ! normal depth,,PATO:0045052  normal depth
ENVO:2000028 ! mechanical wave energy,ENVO:2000028 ! mechanical wave energy,ENVO:2000028,mechanical wave energy
UBERON:0007010 ! cleaving embryo,UBERON:0007010 ! cleaving embryo,,UBERON:0007010  cleaving embryo
ENVO:00000416 ! coastal dune,ENVO:00000416 ! coastal dune,ENVO:00000416,coastal dune
FOODON:00001126 ! bovine cheese food product,FOODON:00001126 ! bovine cheese food product,,FOODON:00001126  bovine cheese food product
ENVO:01001129 ! super-Jupiter,ENVO:01001129 ! super-Jupiter,ENVO:01001129,super-Jupiter
ENVO:03501130 ! school building,ENVO:03501130 ! school building,ENVO:03501130,school building
ENVO:01001624 ! glacial bed,ENVO:01001624 ! glacial bed,ENVO:01001624,glacial bed
ENVO:01000299 ! Taylor column,ENVO:01000299 ! Taylor column,ENVO:01000299,Taylor column
ENVO:03500004 ! bike path,ENVO:03500004 ! bike path,ENVO:03500004,bike path
CHEBI:24533 ! heterodetic cyclic peptide,CHEBI:24533 ! heterodetic cyclic peptide,,CHEBI:24533  heterodetic cyclic peptide
ENVO:03501141 ! coronary care unit facility,ENVO:03501141 ! coronary care unit facility,ENVO:03501141,coronary care unit facility
ENVO:01000457 ! masonry unit,ENVO:01000457 ! masonry unit,ENVO:01000457,masonry unit
NCBITaxon:12965 ! Bathymodiolus,NCBITaxon:12965 ! Bathymodiolus,,NCBITaxon:12965  Bathymodiolus
UBERON:0035965 ! wall of blood vessel,UBERON:0035965 ! wall of blood vessel,,UBERON:0035965  wall of blood vessel
ENVO:02000133 ! nuclear reactor,ENVO:02000133 ! nuclear reactor,ENVO:02000133,nuclear reactor
FOODON:00001222 ! sausage (raw),FOODON:00001222 ! sausage (raw),,FOODON:00001222  sausage raw
ENVO:00002198 ! fresh water aquarium,ENVO:00002198 ! fresh water aquarium,ENVO:00002198,fresh water aquarium
ENVO:01000985 ! fairground,ENVO:01000985 ! fairground,ENVO:01000985,fairground
CHEBI:28694 ! copper atom,CHEBI:28694 ! copper atom,,CHEBI:28694  copper atom
