raw_id	accession	bp_id	contributors	model	owner_abbreviation	owner_text	owner_url	package	package_name	paragraph	prefixed_id	primary_id	samp_name	sra_id	status	status_date	synonym	table_caption	taxonomy_id	taxonomy_name	title
13478206	SAMEA104726475			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726475	SAMEA104726475		ERS2327858		2019-12-07T11:11:54.037			410658	soil metagenome	Crete soil metagenome
13478207	SAMEA104726476			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726476	SAMEA104726476		ERS2327859		2019-12-07T11:11:54.067			410658	soil metagenome	Crete soil metagenome
13478208	SAMEA104726477			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726477	SAMEA104726477		ERS2327860		2019-12-07T11:11:54.100			410658	soil metagenome	Crete soil metagenome
13478209	SAMEA104726478			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726478	SAMEA104726478		ERS2327861		2019-12-07T11:11:54.177			410658	soil metagenome	Crete soil metagenome
13478210	SAMEA104726479			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726479	SAMEA104726479		ERS2327862		2019-12-07T11:11:54.223			410658	soil metagenome	Crete soil metagenome
13478211	SAMEA104726480			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726480	SAMEA104726480		ERS2327863		2019-12-07T11:11:54.270			410658	soil metagenome	Crete soil metagenome
13478212	SAMEA104726483			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726483	SAMEA104726483		ERS2327866		2019-12-07T11:11:54.300			410658	soil metagenome	Crete soil metagenome
9004418	SAMEA104726364			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726364	SAMEA104726364		ERS2327747		2018-04-30T16:09:24.377			410658	soil metagenome	Crete soil metagenome
13478078	SAMEA104726346			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726346	SAMEA104726346		ERS2327729		2019-12-07T11:11:49.707			410658	soil metagenome	Crete soil metagenome
13478079	SAMEA104726347			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726347	SAMEA104726347		ERS2327730		2019-12-07T11:11:49.740			410658	soil metagenome	Crete soil metagenome
13478080	SAMEA104726348			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726348	SAMEA104726348		ERS2327731		2019-12-07T11:11:49.770			410658	soil metagenome	Crete soil metagenome
13478081	SAMEA104726349			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726349	SAMEA104726349		ERS2327732		2019-12-08T08:12:46.110			410658	soil metagenome	Crete soil metagenome
13478082	SAMEA104726350			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726350	SAMEA104726350		ERS2327733		2019-12-07T11:11:49.817			410658	soil metagenome	Crete soil metagenome
13478083	SAMEA104726351			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726351	SAMEA104726351		ERS2327734		2019-12-07T11:11:49.850			410658	soil metagenome	Crete soil metagenome
13478084	SAMEA104726352			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726352	SAMEA104726352		ERS2327735		2019-12-07T11:11:49.880			410658	soil metagenome	Crete soil metagenome
13478085	SAMEA104726353			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726353	SAMEA104726353		ERS2327736		2019-12-07T11:11:49.910			410658	soil metagenome	Crete soil metagenome
13478086	SAMEA104726354			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726354	SAMEA104726354		ERS2327737		2019-12-07T11:11:49.943			410658	soil metagenome	Crete soil metagenome
13478087	SAMEA104726355			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726355	SAMEA104726355		ERS2327738		2019-12-07T11:11:49.973			410658	soil metagenome	Crete soil metagenome
13478088	SAMEA104726356			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726356	SAMEA104726356		ERS2327739		2019-12-08T08:12:46.157			410658	soil metagenome	Crete soil metagenome
13478089	SAMEA104726357			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726357	SAMEA104726357		ERS2327740		2019-12-07T11:11:50.020			410658	soil metagenome	Crete soil metagenome
13478090	SAMEA104726358			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726358	SAMEA104726358		ERS2327741		2019-12-07T11:11:50.050			410658	soil metagenome	Crete soil metagenome
13478091	SAMEA104726359			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726359	SAMEA104726359		ERS2327742		2019-12-07T11:11:50.100			410658	soil metagenome	Crete soil metagenome
13478092	SAMEA104726360			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726360	SAMEA104726360		ERS2327743		2019-12-07T11:11:50.130			410658	soil metagenome	Crete soil metagenome
13478093	SAMEA104726361			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726361	SAMEA104726361		ERS2327744		2019-12-07T11:11:50.160			410658	soil metagenome	Crete soil metagenome
13478094	SAMEA104726362			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726362	SAMEA104726362		ERS2327745		2019-12-07T11:11:50.193			410658	soil metagenome	Crete soil metagenome
13478095	SAMEA104726363			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726363	SAMEA104726363		ERS2327746		2019-12-07T11:11:50.223			410658	soil metagenome	Crete soil metagenome
13478096	SAMEA104726365			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726365	SAMEA104726365		ERS2327748		2019-12-07T11:11:50.253			410658	soil metagenome	Crete soil metagenome
13478097	SAMEA104726366			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726366	SAMEA104726366		ERS2327749		2019-12-07T11:11:50.287			410658	soil metagenome	Crete soil metagenome
13478098	SAMEA104726367			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726367	SAMEA104726367		ERS2327750		2019-12-07T11:11:50.317			410658	soil metagenome	Crete soil metagenome
13478099	SAMEA104726368			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726368	SAMEA104726368		ERS2327751		2019-12-07T11:11:50.350			410658	soil metagenome	Crete soil metagenome
13478100	SAMEA104726369			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726369	SAMEA104726369		ERS2327752		2019-12-07T11:11:50.397			410658	soil metagenome	Crete soil metagenome
13478101	SAMEA104726370			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726370	SAMEA104726370		ERS2327753		2019-12-07T11:11:50.427			410658	soil metagenome	Crete soil metagenome
13478102	SAMEA104726371			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726371	SAMEA104726371		ERS2327754		2019-12-07T11:11:50.457			410658	soil metagenome	Crete soil metagenome
13478103	SAMEA104726372			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726372	SAMEA104726372		ERS2327755		2019-12-07T11:11:50.490			410658	soil metagenome	Crete soil metagenome
13478104	SAMEA104726373			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726373	SAMEA104726373		ERS2327756		2019-12-07T11:11:50.520			410658	soil metagenome	Crete soil metagenome
13478105	SAMEA104726374			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726374	SAMEA104726374		ERS2327757		2019-12-07T11:11:50.550			410658	soil metagenome	Crete soil metagenome
